artist,song,rank,streams,country,week
Cardi B,I Like It,7,26025276,global,2018-07-06--2018-07-13
Calvin Harris,One Kiss (with Dua Lipa),8,24664506,global,2018-07-06--2018-07-13
Post Malone,Better Now,9,23756262,global,2018-07-06--2018-07-13
Clean Bandit,Solo (feat. Demi Lovato),10,22976944,global,2018-07-06--2018-07-13
Drake,Nonstop,1,43697135,global,2018-06-29--2018-07-06
Drake,Don’t Matter To Me,2,43314851,global,2018-06-29--2018-07-06
XXXTENTACION,SAD!,3,32872517,global,2018-06-29--2018-07-06
Drake,God's Plan,4,31958655,global,2018-06-29--2018-07-06
Drake,In My Feelings,5,30123256,global,2018-06-29--2018-07-06
Drake,Emotionless,6,29680801,global,2018-06-29--2018-07-06
Drake,I'm Upset,7,28743698,global,2018-06-29--2018-07-06
Drake,Survival,8,27089507,global,2018-06-29--2018-07-06
Drake,Elevate,9,26995718,global,2018-06-29--2018-07-06
Drake,Nice For What,10,26909120,global,2018-06-29--2018-07-06
XXXTENTACION,SAD!,1,38010231,global,2018-06-22--2018-06-29
XXXTENTACION,Moonlight,2,27497557,global,2018-06-22--2018-06-29
Juice WRLD,Lucid Dreams,3,27389019,global,2018-06-22--2018-06-29
Maroon 5,Girls Like You (feat. Cardi B),4,26921586,global,2018-06-22--2018-06-29
Post Malone,Better Now,5,26683626,global,2018-06-22--2018-06-29
Cardi B,I Like It,6,26222393,global,2018-06-22--2018-06-29
Calvin Harris,One Kiss (with Dua Lipa),7,26073037,global,2018-06-22--2018-06-29
XXXTENTACION,Jocelyn Flores,8,25442646,global,2018-06-22--2018-06-29
XXXTENTACION,changes,9,23766098,global,2018-06-22--2018-06-29
Clean Bandit,Solo (feat. Demi Lovato),10,22756444,global,2018-06-22--2018-06-29
XXXTENTACION,SAD!,1,33620835,global,2018-06-15--2018-06-22
Post Malone,Better Now,2,28714725,global,2018-06-15--2018-06-22
Calvin Harris,One Kiss (with Dua Lipa),3,25853036,global,2018-06-15--2018-06-22
Maroon 5,Girls Like You (feat. Cardi B),4,25747641,global,2018-06-15--2018-06-22
Juice WRLD,Lucid Dreams,5,25643913,global,2018-06-15--2018-06-22
Cardi B,I Like It,6,25349119,global,2018-06-15--2018-06-22
XXXTENTACION,Jocelyn Flores,7,24131781,global,2018-06-15--2018-06-22
5 Seconds of Summer,Youngblood,8,22841733,global,2018-06-15--2018-06-22
Selena Gomez,Back To You,9,22196102,global,2018-06-15--2018-06-22
XXXTENTACION,Moonlight,10,21727494,global,2018-06-15--2018-06-22
